	V1	V2
426	AHCYL2	516886.732860964
427	AHCY	2679701.56722835
428	AHDC1	105410.551196885
429	AHI1	41239.8510476825
430	AHNAK2	27488.4765794393
431	AHNAK	21451944.8653464
432	AHRR	144.900190029363
433	AHR	49486.333246474
434	AHSA1	4792616.2424753
435	AHSA2	27565.9644758304
436	AHSG	1.37232555269841
437	AHSP	85.7687455069221
438	AICDA	8910.88855593466
439	AIDA	409386.913173111
440	AIF1L	437936.281337933
441	AIF1	541072.200047606
442	AIFM1	87226.8198923492
443	AIFM2	21000.3686495747
444	AIFM3	610.613091613561
445	AIG1	6104.86865797148
446	AIM1L	1145.98460011944
447	AIM1	268078.039930674
448	AIM2	13731.5873098269
449	AIMP1	32341.8967897418
450	AIMP2	89610.2472436168
451	AIPL1	2173.07051561579
452	AIP	119169.033011475
453	AIRE	30211.7329834996
454	AJAP1	19.2553601174206
455	AK1	29134.5453454275
456	AK2	128926.755953147
457	AK3L1	960547.41246511
458	AK3	40670.969521499
459	AK5	23192.1890715929
460	AK7	1196.94557245069
461	AKAP10	29919.1295665961
462	AKAP11	217907.408919182
463	AKAP12	16815182.8192595
464	AKAP13	445670.720621801
465	AKAP14	0.349266497993552
466	AKAP1	5425462.01836984
467	AKAP2	400046.576671151
468	AKAP3	911091.233040925
469	AKAP4	65.9415524093651
470	AKAP5	7526.52172429142
471	AKAP6	799.922260535474
472	AKAP7	6490.24850174603
473	AKAP8L	667690.424194345
474	AKAP8	56794.257746126
475	AKAP9	829725.227708613
476	AKD1	226.216740588165
477	AKIRIN1	1175612.78613791
478	AKIRIN2	248789.371251364
479	AKNAD1	15.174137132557
480	AKNA	818709.724338282
481	AKR1A1	1119687.33203113
482	AKR1B10	6920.11724614783
483	AKR1B15	2.12361814853175
484	AKR1B1	2854206.53243568
485	AKR1C1	6991.22686805042
486	AKR1C2	3244.6806129192
487	AKR1C3	4628.2318870825
488	AKR1C4	0.018429917358631
489	AKR1CL1	0.0811874901587302
490	AKR1D1	0.280703486922123
491	AKR1E2	838.514000728214
492	AKR7A2	42964.5160677619
493	AKR7A3	1249.86143460841
494	AKR7L	267.915891985196
495	AKT1S1	339040.61556738
496	AKT1	540325.707680059
497	AKT2	187684.103497991
498	AKT3	39154.9176811585
499	AKTIP	23480.114377245
500	ALAD	190483.580634381
501	ALAS1	1004618.32650687
502	ALAS2	0.326732269461806
503	ALB	3341.78993608125
504	ALCAM	202292.200048388
505	ALDH16A1	192139.498407994
506	ALDH18A1	412937.732680729
507	ALDH1A1	1454395.87645819
508	ALDH1A2	661.28864768595
509	ALDH1A3	98491.2728060359
510	ALDH1B1	17437.3221864568
511	ALDH1L1	1483.52257037127
512	ALDH1L2	5792.51192815159
513	ALDH2	6067275.47714981
514	ALDH3A1	23.3817382688864
515	ALDH3A2	51096.6141692299
516	ALDH3B1	124410.836615213
517	ALDH3B2	3.55043014872024
518	ALDH4A1	350773.327120383
519	ALDH5A1	17744.403178983
520	ALDH6A1	6722.13976638932
521	ALDH7A1	168642.106968166
522	ALDH8A1	41.2903254953547
523	ALDH9A1	219927.211422917
524	ALDOA	33806960.1515556
525	ALDOB	14.7305661303745
526	ALDOC	327099.479786537
527	ALG10B	17614.0656798806
528	ALG10	6031.83528460295
529	ALG11	47.082241259184
530	ALG12	21665.9626987259
531	ALG13	40888.283105466
532	ALG14	5338.83166973785
533	ALG1L2	46.1986537536285
534	ALG1L	38.7537432153348
535	ALG1	30841.3653595652
536	ALG2	107236.001365413
537	ALG3	469902.481746238
538	ALG5	15028.6285871585
539	ALG6	6632.04309320536
540	ALG8	25571.8866509593
541	ALG9	25380.0936947688
542	ALKBH1	41880.0022969484
543	ALKBH2	38243.0243029841
544	ALKBH3	7727.95767078472
545	ALKBH4	18921.2653261111
546	ALKBH5	775045.132235491
547	ALKBH6	8760.35403715848
548	ALKBH7	267674.536770119
549	ALKBH8	7879.1931327934
550	ALK	137.139852591049
551	ALLC	4.08387730975943
552	ALMS1P	19.293562630754
553	ALMS1	145769.180204125
554	ALOX12B	43.6635937340055
555	ALOX12P2	170.375011477689
556	ALOX12	5778.66335103254
557	ALOX15B	1374096.81526151
558	ALOX15	59.9149681237996
559	ALOX5AP	35091.4315647901
560	ALOX5	290433.591004335
561	ALOXE3	1.79442120206349
562	ALPI	1.58677145301587
563	ALPK1	80041.0718525268
564	ALPK2	339.034615131168
565	ALPK3	53043.041106841
566	ALPL	101513638.230686
567	ALPPL2	24622413.7824212
568	ALPP	692434.960475231
569	ALS2CL	7410.07119281295
570	ALS2CR11	5246.2127342257
571	ALS2CR12	3.88233176365079
572	ALS2CR4	30918.2764867994
573	ALS2CR8	1419.38460105816
574	ALS2	175088.227428214
575	ALX1	1688.22295703492
576	ALX3	454.175114147262
577	ALX4	5052.64986127055
578	AMAC1L2	63.122789506684
579	AMAC1L3	1.96027108984127
580	AMAC1	1790.1355911234
581	AMACR	6473.07417748095
582	AMBN	1.64437035551339
583	AMBP	152.033709199524
584	AMBRA1	94387.6179616974
585	AMD1	1335097.30034444
586	AMDHD1	50247.1938940739
587	AMDHD2	10369.0095889523
588	AMELX	0.0331523801760913
589	AMELY	0.392151187199901
590	AMFR	335392.132056142
591	AMHR2	774.458134734978
592	AMH	6368.2330741518
593	AMICA1	836754.360177845
594	AMIGO1	4509.67216545714
595	AMIGO2	4358.44631800364
596	AMIGO3	636.697417891624
597	AMMECR1L	167602.783185944
598	AMMECR1	4996.83592002823
599	AMN1	14829.1609334373
600	AMN	302.458894872024
601	AMOTL1	19435.0833941904
602	AMOTL2	266672.405184602
603	AMOT	5811.2962784128
604	AMPD1	338.995229304117
605	AMPD2	118830.734919905
606	AMPD3	94147.9017937675
